file,scene,feature,mode,slope,p_value,direction,n_pairs,slope_rand_mean,slope_rand_std
neutral_S08,neutral,intensity_mean,sym,0.0029651724428925,0.15,none,45,0.0050165996466172,0.0019867844042359
neutral_S08,neutral,intensity_mean,h2a,0.0023943898194891,0.172,none,22,0.0049829987174688,0.0026230917986019
neutral_S08,neutral,intensity_mean,a2h,0.0033758046014956,0.936,none,23,0.0002660083410082,0.0021329570943119
neutral_S08,neutral,intensity_max,sym,0.0013570486491101,1.0,divergence,45,-0.0066488860786724,0.0023700024007207
neutral_S08,neutral,intensity_max,h2a,-0.0018903805331214,0.967,none,22,-0.0077958904730902,0.0031820768113473
neutral_S08,neutral,intensity_max,a2h,0.0023094468430753,0.031,none,23,0.0081084621147285,0.0030443503503101
neutral_S08,neutral,intensity_min,sym,-0.0006693785410574,0.026,convergence,45,0.0033855573678162,0.0020198294677701
neutral_S08,neutral,intensity_min,h2a,0.0015792785511996,0.198,none,22,0.0037000454423247,0.0025384290773488
neutral_S08,neutral,intensity_min,a2h,-0.0035112078795557,0.149,none,23,-0.001214582718116,0.0021237183280603
neutral_S08,neutral,intensity_std,sym,0.000541097801819,0.727,none,45,0.0001300721756451,0.0007177444465947
neutral_S08,neutral,intensity_std,h2a,0.0008669416360882,0.806,none,22,7.824664204346628e-05,0.0009279026274577
neutral_S08,neutral,intensity_std,a2h,-0.0001125344467219,0.437,none,23,1.6117274067906856e-05,0.0006919357962744
neutral_S08,neutral,speech_rate,sym,0.0002439839791276,0.809,none,45,-0.0003844321778453,0.0007481391383135
neutral_S08,neutral,speech_rate,h2a,0.0006653745779113,0.878,none,22,-0.0006424551718244,0.0011732293971704
neutral_S08,neutral,speech_rate,a2h,-3.76219872012647e-06,0.26,none,23,0.0005144069693888,0.0007836533087514
neutral_S08,neutral,mfcc_centroid_dist,sym,-1.0619350701686986e-06,0.104,none,44,-5.780202939189463e-07,3.942449335817269e-07
neutral_S08,neutral,mfcc_centroid_dist,h2a,6.224092539581586e-07,0.893,none,22,-4.4645142643920964e-08,5.465388566784091e-07
neutral_S08,neutral,mfcc_centroid_dist,a2h,-3.0759452104520216e-06,0.005,convergence,22,-6.94438900225277e-07,9.285448260787596e-07
neutral_S08,neutral,embedding_cosine_dist,sym,5.2910221822567625e-05,0.898,none,43,-3.512544234544028e-06,4.3963457939717694e-05
neutral_S08,neutral,embedding_cosine_dist,h2a,5.921050932808964e-05,0.882,none,22,-1.0155746827173903e-05,5.6189724605897616e-05
neutral_S08,neutral,embedding_cosine_dist,a2h,2.278458497474949e-05,0.805,none,21,1.6662444967524434e-06,2.529208732176185e-05
neutral_S11,neutral,pitch_mean,sym,0.0125197775844506,0.953,divergence,31,-0.0036845428418686,0.0098168039084335
neutral_S11,neutral,pitch_mean,h2a,-0.0104797331421876,0.452,none,15,-0.0076180961051217,0.0165012366481561
neutral_S11,neutral,pitch_mean,a2h,0.0143839190595727,0.153,none,16,0.0354596068367021,0.0206752251914815
neutral_S11,neutral,pitch_max,sym,0.2229406761673605,0.875,none,31,0.0833946193072926,0.1163034970473959
neutral_S11,neutral,pitch_max,h2a,-0.0328750857453627,0.294,none,15,0.0786114307488601,0.1914817494099678
neutral_S11,neutral,pitch_max,a2h,0.341539351042438,0.729,none,16,0.2780321206227077,0.1066857391146279
neutral_S11,neutral,pitch_min,sym,-0.005894008557897,0.554,none,20,-0.010489477717457,0.0356449558357825
neutral_S11,neutral,pitch_min,h2a,-0.0140176480292459,0.411,none,10,-0.0033007114432314,0.0501568593915742
neutral_S11,neutral,pitch_min,a2h,0.0124504073591093,0.639,none,10,-0.0104338467042043,0.0626040319430605
neutral_S11,neutral,pitch_std,sym,0.0347281697550286,0.934,none,31,0.0159369064225906,0.0126974239495895
neutral_S11,neutral,pitch_std,h2a,0.001983000964019,0.263,none,15,0.016305287874966,0.0225067293942365
neutral_S11,neutral,pitch_std,a2h,0.0503767081614963,0.922,none,16,0.0306722831701918,0.0136386693826683
neutral_S11,neutral,intensity_mean,sym,-0.0095901391157795,0.038,convergence,31,-0.005585544021707,0.0022881658756833
neutral_S11,neutral,intensity_mean,h2a,-0.0100721182982645,0.17,none,15,-0.0064430393269765,0.0037216306307864
neutral_S11,neutral,intensity_mean,a2h,-0.0114887666235697,0.008,convergence,16,-0.0045050648766739,0.0030272289404913
neutral_S11,neutral,intensity_max,sym,-0.0044952060260273,0.273,none,31,-0.0032951069853857,0.0021079787888256
neutral_S11,neutral,intensity_max,h2a,-0.0103670030997951,0.026,convergence,15,-0.0038988078792235,0.0032912207388877
neutral_S11,neutral,intensity_max,a2h,-0.0009776295137766,0.38,none,16,-0.0002832067573205,0.0023630378201662
neutral_S11,neutral,intensity_min,sym,0.0002916758047792,0.478,none,31,0.0003611235821392,0.0018608075702859
neutral_S11,neutral,intensity_min,h2a,-0.003070535329874,0.065,none,15,0.0008140837725611,0.0025900835843363
neutral_S11,neutral,intensity_min,a2h,0.0039593054707379,0.669,none,16,0.0012371466224391,0.0100620164606129
neutral_S11,neutral,intensity_std,sym,-0.0007149609833129,0.277,none,31,-3.26392765213162e-05,0.001167772116359
neutral_S11,neutral,intensity_std,h2a,-0.0013141769551967,0.2,none,15,0.0001927377746748,0.001748495239768
neutral_S11,neutral,intensity_std,a2h,0.0001838188694632,0.646,none,16,-0.000294293401793,0.0012754746655039
neutral_S11,neutral,speech_rate,sym,-0.0002530286991089,0.409,none,31,-3.154006312186287e-05,0.0008717416660154
neutral_S11,neutral,speech_rate,h2a,0.0010270498391121,0.749,none,15,5.304563534376471e-05,0.0014083724836105
neutral_S11,neutral,speech_rate,a2h,-0.0004860620874647,0.487,none,16,-0.0004201181921563,0.0008903880377492
neutral_S11,neutral,mfcc_centroid_dist,sym,-1.5422428174542231e-06,0.503,none,29,-1.5389233846638416e-06,4.300430813926338e-07
neutral_S11,neutral,mfcc_centroid_dist,h2a,-2.7963322390174234e-06,0.064,none,14,-1.8545796229176003e-06,6.787594190231757e-07
neutral_S11,neutral,mfcc_centroid_dist,a2h,-1.486929181606003e-06,0.232,none,15,-2.907658899715094e-07,1.6297795203456188e-06
neutral_S11,neutral,embedding_cosine_dist,sym,2.947976719388464e-07,0.688,none,27,-1.7604942724586403e-05,3.462668774686936e-05
neutral_S11,neutral,embedding_cosine_dist,h2a,-5.06872720591476e-05,0.323,none,12,-2.6397416790090432e-05,5.543068685681805e-05
neutral_S11,neutral,embedding_cosine_dist,a2h,4.3749053951254174e-05,0.613,none,15,3.3929588754492926e-05,3.781885420647086e-05
neutral_S12,neutral,pitch_mean,sym,0.0158563472922984,0.461,none,49,0.0169853034376454,0.0120355264779486
neutral_S12,neutral,pitch_mean,h2a,-0.0101263852313501,0.04,convergence,24,0.0177662965810699,0.015153246670532
neutral_S12,neutral,pitch_mean,a2h,0.0318092763162387,0.933,none,25,0.0170266517090845,0.0094531725873243
neutral_S12,neutral,pitch_max,sym,0.0401146580874604,0.717,none,51,0.0106535968515503,0.0502989947536839
neutral_S12,neutral,pitch_max,h2a,-0.0016051513734905,0.437,none,25,0.0159171211669849,0.0757713782965544
neutral_S12,neutral,pitch_max,a2h,0.0309024929266578,0.727,none,26,0.0034332677208829,0.0464727426203566
neutral_S12,neutral,pitch_min,sym,0.0365132816057034,0.631,none,42,0.0306715375468952,0.016145409607317
neutral_S12,neutral,pitch_min,h2a,0.006938789369341,0.188,none,21,0.0296256224715663,0.0250848422982847
neutral_S12,neutral,pitch_min,a2h,0.068726751538583,0.983,divergence,21,0.0119277817259728,0.029840652395975
neutral_S12,neutral,pitch_std,sym,0.0073132542891967,0.748,none,51,0.0030334411782707,0.0061350724410949
neutral_S12,neutral,pitch_std,h2a,0.0013064270291562,0.494,none,25,0.0019711742810496,0.0090373506505102
neutral_S12,neutral,pitch_std,a2h,0.0061217142435231,0.779,none,26,0.0006391368286851,0.0071559155413242
neutral_S12,neutral,intensity_mean,sym,-0.0050654661445003,0.009,convergence,51,-0.0009614065970379,0.0018539276317875
neutral_S12,neutral,intensity_mean,h2a,-0.0048964145301367,0.063,none,25,-0.0012456962478617,0.0023600363692443
neutral_S12,neutral,intensity_mean,a2h,-0.005482603728123,0.557,none,26,-0.0056393108011211,0.0011533782744193
neutral_S12,neutral,intensity_max,sym,0.0007609094112051,0.888,none,51,-0.0004250671047182,0.0010160531474001
