file,scene,feature,n_windows,sync_strength,ctrl_strength,s_sync_real,s_sync_rand_mean,s_sync_rand_std,p_value,test,significant,pos_sync_ratio,neg_sync_ratio,human_follow_ratio,ai_follow_ratio,simultaneous_ratio,mean_abs_lag
arguing_S21,arguing,speech_rate,7,0.7858539657397754,0.7314928894568616,0.2254912420243684,0.187347649086999,0.1005302700607325,0.2489852458192666,t,False,0.1428571428571428,0.8571428571428571,0.4285714285714285,0.5714285714285714,0.0,3.0
arguing_S21,arguing,mfcc_centroid_dist,7,0.6767343959696449,0.7465181499030313,0.2039343209778049,0.1912549811457525,0.1179998699225706,0.1971403345096976,t,False,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.7142857142857143,0.1428571428571428,3.142857142857143
arguing_S21,arguing,embedding_cosine_dist,7,0.8075721060421265,0.7411070057108109,0.2329155759320931,0.1716354175003758,0.0960273197060298,0.3293515821858883,t,False,0.8571428571428571,0.1428571428571428,0.5714285714285714,0.4285714285714285,0.0,2.857142857142857
arguing_S22,arguing,pitch_mean,7,0.758010045452931,0.7629576102898998,0.1572617724448022,0.1901731526677527,0.095869968511379,0.8975665062235647,t,False,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.0,4.0
arguing_S22,arguing,pitch_max,6,0.7273356144958686,0.7470836059343935,0.1649419787231493,0.2052356753818025,0.1317573258420984,0.635959706704255,t,False,0.5,0.5,0.5,0.5,0.0,3.6666666666666665
arguing_S22,arguing,pitch_min,6,0.6572450130994371,0.7252876157401731,0.1345832421227591,0.1990377723236301,0.1272776917485618,0.8662991556301974,MW,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,4.0
arguing_S22,arguing,pitch_std,7,0.7869332873881449,0.744692400970602,0.1819267564833159,0.1871129138687321,0.1162495764581222,0.348925853472524,t,False,0.4285714285714285,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.0,3.7142857142857135
arguing_S22,arguing,intensity_mean,7,0.7458954980523053,0.7477229378227477,0.1453047055578487,0.191742723515368,0.123318943635738,0.9737688359388638,t,False,0.2857142857142857,0.7142857142857143,0.4285714285714285,0.5714285714285714,0.0,4.285714285714286
arguing_S22,arguing,intensity_max,7,0.7900923831412144,0.7544715886096618,0.254798837424666,0.1949048740813094,0.1156967497906675,0.2987266782784201,t,False,0.1428571428571428,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.1428571428571428,3.142857142857143
arguing_S22,arguing,intensity_min,7,0.7654686414036693,0.7369623404805303,0.1821240371954413,0.1913849910070712,0.112744492722954,0.5625790241303176,t,False,0.5714285714285714,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.0,3.4285714285714284
arguing_S22,arguing,intensity_std,7,0.7647044017385968,0.7482843060047634,0.1597752424939565,0.2032402754209708,0.1333889179368113,0.6468154320468464,t,False,0.4285714285714285,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.0,3.857142857142857
arguing_S22,arguing,speech_rate,7,0.8286972412999901,0.7143253796086998,0.1884200425603661,0.1757781447288023,0.110551392415234,0.0129486656930293,t,True,0.2857142857142857,0.7142857142857143,0.4285714285714285,0.5714285714285714,0.0,3.7142857142857135
arguing_S22,arguing,mfcc_centroid_dist,6,0.7179314735559967,0.7380172805370372,0.1405955548424931,0.1703403859940873,0.067009757426671,0.8224974003003627,t,False,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,4.333333333333333
arguing_S22,arguing,embedding_cosine_dist,7,0.77577533094144,0.741722091451402,0.3181790406622529,0.1970987635192805,0.106342562458603,0.2921436861783339,MW,False,0.4285714285714285,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.2857142857142857,3.4285714285714284
arguing_S23,arguing,pitch_mean,9,0.7840575209000403,0.7622129233161183,0.1826699048687624,0.1983244265143357,0.1343698968429638,0.6042051227740335,t,False,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,3.4444444444444446
arguing_S23,arguing,pitch_max,8,0.7765636988769569,0.7470672447212872,0.2101288531856507,0.1922608352148292,0.1106600938852332,0.3899405477530354,t,False,0.375,0.625,0.5,0.375,0.125,4.125
arguing_S23,arguing,pitch_min,9,0.7529351572981056,0.7544379265843554,0.238664185095034,0.2168267153593313,0.1472639488097959,0.968163072294917,t,False,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.1111111111111111,3.2222222222222223
arguing_S23,arguing,pitch_std,9,0.7003242828521277,0.7762068294150819,0.1480778861199106,0.2087982522088502,0.1194236720469174,0.9236650878307804,MW,False,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.0,4.111111111111111
arguing_S23,arguing,intensity_mean,9,0.8061702193205458,0.769243773871148,0.175785508851861,0.1893395645073931,0.1246019952138714,0.289869834008125,t,False,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.0,3.7777777777777777
arguing_S23,arguing,intensity_max,9,0.7812853088040392,0.7494625099022086,0.2718347331673147,0.1949225848381733,0.1285791687698805,0.380531921767436,t,False,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.1111111111111111,3.111111111111111
arguing_S23,arguing,intensity_min,9,0.7778750107696784,0.7502864421143375,0.1938812894234054,0.1938186590275606,0.108134098569182,0.4502508826727803,t,False,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.0,3.4444444444444446
arguing_S23,arguing,intensity_std,9,0.7710950108952337,0.7521781012023355,0.1637908888980511,0.1974015284914335,0.1270041950227692,0.302475636148963,MW,False,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.0,4.0
arguing_S23,arguing,speech_rate,9,0.772344495014606,0.7674859013553239,0.1377858118803388,0.2046524942911214,0.1250397249173629,0.902411871618472,t,False,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.0,4.666666666666667
arguing_S23,arguing,mfcc_centroid_dist,8,0.7573999518929305,0.7674642605923451,0.1781671071148811,0.1840828815316931,0.0850687617521377,0.6629286169791537,MW,False,0.375,0.625,0.375,0.625,0.0,3.75
arguing_S23,arguing,embedding_cosine_dist,8,0.6644277249763776,0.7660871226813387,0.1675467590563692,0.1823784236262702,0.1038221385268476,0.9853946425819756,MW,False,0.5,0.5,0.5,0.5,0.0,3.5
arguing_S24,arguing,pitch_mean,4,0.785634632160044,0.7904055235310502,0.1601913033007123,0.1795670996394599,0.0826208747046084,0.9107115309012944,t,False,0.5,0.5,0.5,0.5,0.0,4.0
arguing_S24,arguing,pitch_max,2,0.6709964207299325,0.8180290099812757,0.1915949532642745,0.2532038786081487,0.2264770240051593,0.8181818181818181,MW,False,0.5,0.5,1.0,0.0,0.0,3.0
arguing_S24,arguing,pitch_min,4,0.8513536823329009,0.7627738158457157,0.1745451989287729,0.2156231344554028,0.1461916451208003,0.0544084389801916,MW,False,1.0,0.0,0.75,0.25,0.0,4.0
arguing_S24,arguing,pitch_std,3,0.7381122348596468,0.7586832433564409,0.1845370553871059,0.2004486811606338,0.1158638666662759,0.6046554252199415,MW,False,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,3.333333333333333
arguing_S24,arguing,intensity_mean,4,0.8021548303668455,0.7315677605930031,0.2062443673684655,0.1883419157819899,0.1074060548960354,0.4604951220079168,t,False,0.5,0.5,0.0,1.0,0.0,3.25
arguing_S24,arguing,intensity_max,4,0.7788721762983107,0.7856340377963835,0.20482308224113,0.1969760559066515,0.114051011947821,0.5703162407643405,MW,False,0.5,0.5,0.25,0.75,0.0,3.0
