file,scene,feature,s_sync_real,s_sync_rand_mean,s_sync_rand_std,slope,slope_rand_mean,slope_rand_std,norm_sync,norm_conv,EI_raw,EI
arguing_S39,arguing,intensity_mean,0.1636092683170032,0.2089718424340817,0.1609357993615031,0.0006126979933919,-2.3137105771564e-05,0.0014479517411933,-0.2818675167181574,-0.4391272727359363,-0.3604973947270469,-0.4891997068799285
arguing_S39,arguing,intensity_max,0.1310356479660054,0.1994064764291784,0.1218310426677597,-0.0038365125538792,0.0004706385373133,0.0025645555674446,-0.5611938219196252,1.679492207487738,0.5591491927840564,0.8537824770572146
arguing_S39,arguing,intensity_min,0.2017137195462337,0.2064524414369025,0.1236587839971238,-0.0055709485345412,8.054506889136574e-05,0.002864973174583,-0.0383209484801258,1.9726165862810037,0.9671478189004388,1.4495927517715952
arguing_S39,arguing,intensity_std,0.1775083361028505,0.1602701815759913,0.0722125406822312,-0.0023740773796531,0.0011844699125779,0.0016703461155549,0.2387141397325307,2.130425101176607,1.1845696204545688,1.7670990741480574
arguing_S39,arguing,speech_rate,0.1464568941394086,0.1999158786835731,0.1291352349976597,0.0003037583709787,1.4460178664925875e-05,0.0005965720048415,-0.413976747284607,-0.4849342409063197,-0.4494554940954633,-0.6191073737936068
arguing_S39,arguing,mfcc_centroid_dist,0.3518004097424964,0.1803764366783234,0.0733784107064571,9.28822303613514e-07,2.931997414193108e-07,6.4648718573545e-07,2.33616361289068,-0.9831943713951776,0.6764846207477511,1.025130244166696
arguing_S39,arguing,embedding_cosine_dist,0.2257698676071605,0.2027540859157568,0.0877871019360034,7.3779837302416996e-06,3.703361942390923e-05,3.462881792029867e-05,0.2621772582056775,0.8563860239735192,0.5592816410895983,0.8539758945254584
arguing_S40,arguing,pitch_mean,0.1662723465051072,0.1920702745303484,0.1162735617472733,-0.0649899310659879,-0.0244580634376341,0.0291883076925843,-0.2218726908986786,1.3886336972750049,0.5833805031881631,0.8891680464793087
arguing_S40,arguing,pitch_max,0.2863843558603205,0.1660138595524184,0.0894497094803279,0.0960626223799553,0.0027736387295225,0.1112893424293886,1.3456778899251138,-0.8382562212515836,0.2537108343367651,0.4077434450461632
arguing_S40,arguing,pitch_min,0.1911898457411357,0.1960013178459593,0.1150177673001359,0.0117730368077233,0.0330565067359665,0.0387381746205721,-0.0418324248310975,0.5494185034970778,0.2537930393329901,0.4078634909930085
arguing_S40,arguing,pitch_std,0.2452590459919782,0.2239516020531318,0.1530343829530873,-0.0436062474838776,-0.042759891729715,0.0196553946320959,0.1392330502967963,0.0430597182099086,0.0911463842533525,0.1703466415692772
arguing_S40,arguing,intensity_mean,0.1632342068738176,0.2115883361121929,0.1517461938102212,0.0015958248856203,0.0011832492270085,0.0026343972892867,-0.3186513481771318,-0.1566110245746231,-0.2376311863758774,-0.3097752072250136
arguing_S40,arguing,intensity_max,0.1566553008860383,0.1891194311039357,0.102281680440435,-7.139052746049353e-05,-0.00106695333464,0.00269755029683,-0.3173992652262229,-0.3690618144727208,-0.3432305398494719,-0.4639845005298789
arguing_S40,arguing,intensity_min,0.169924821808952,0.1994510883936839,0.1262316749568674,0.0108023835148197,0.0057735534135069,0.0047661299484702,-0.2339053695898501,-1.0551181263798566,-0.6445117479848533,-0.903952745261707
arguing_S40,arguing,intensity_std,0.1589152201559412,0.1682512224135448,0.070502020800117,0.0009680710253466,-0.0001744642325536,0.0011580014318453,-0.1324217682223953,-0.986644080465035,-0.5595329243437152,-0.7798561110635105
arguing_S40,arguing,speech_rate,0.2313896132987318,0.1959811745938102,0.1321635864984101,0.0005651195229714,-0.0001392924705051,0.0007851682179418,0.2679137245215993,-0.8971478689280239,-0.3146170722032123,-0.4221995607590622
arguing_S40,arguing,mfcc_centroid_dist,0.1359708755293759,0.1901389372780006,0.077010435772965,6.727451134265518e-07,-2.692718991091268e-07,1.0879623757587785e-06,-0.7033859918455461,-0.8658544022523637,-0.7846201970489548,-1.1085565066059322
arguing_S40,arguing,embedding_cosine_dist,0.1417949375109195,0.2045438384550036,0.1542720609493899,6.126767567470241e-05,-7.09797683303616e-06,3.746247774454252e-05,-0.4067418336018039,-1.82491005997856,-1.115825946790182,-1.5922242841636256
